,Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price,Price_d,used,Reviews_d,price_drop,Mileages_d,group,test,year,Manufacture,model_name
4088,2017 BMW 340 i xDrive,"47,854 mi.",4.3,(140 reviews),Used,"$2,111 price drop","$37,900",37900.0,1.0,140.0,2111.0,47854.0,350.0,"['2017', 'BMW', '340', 'i', 'xDrive']",2017,BMW,"['340', 'i', 'xDrive']"
4089,2017 Tesla Model X 100D,"61,680 mi.",4.7,(28 reviews),Used,$500 price drop,"$85,990",85990.0,1.0,28.0,500.0,61680.0,482.0,"['2017', 'Tesla', 'Model', 'X', '100D']",2017,Tesla,"['Model', 'X', '100D']"
4090,2019 Chevrolet Silverado 1500 LT,"17,435 mi.",4.4,(45 reviews),Used,"$1,601 price drop","$40,750",40750.0,1.0,45.0,1601.0,17435.0,783.0,"['2019', 'Chevrolet', 'Silverado', '1500', 'LT']",2019,Chevrolet,"['Silverado', '1500', 'LT']"
4091,2019 Acura RDX A-Spec,"15,836 mi.",4.9,"(1,008 reviews)",Acura Certified,$599 price drop,"$43,495",43495.0,0.0,1008.0,599.0,15836.0,704.0,"['2019', 'Acura', 'RDX', 'A-Spec']",2019,Acura,"['RDX', 'A-Spec']"
4092,2020 Honda CR-V LX,"21,717 mi.",3.7,(40 reviews),Used,"$2,804 price drop","$29,989",29989.0,1.0,40.0,2804.0,21717.0,1202.0,"['2020', 'Honda', 'CR-V', 'LX']",2020,Honda,"['CR-V', 'LX']"
4093,2020 Chrysler Pacifica Touring-L,"29,905 mi.",4.6,(101 reviews),Used,"$4,000 price drop","$26,491",26491.0,1.0,101.0,4000.0,29905.0,1142.0,"['2020', 'Chrysler', 'Pacifica', 'Touring-L']",2020,Chrysler,"['Pacifica', 'Touring-L']"
4094,2022 Mercedes-Benz GLC 300 Base 4MATIC,"70,390 mi.",4.6,(908 reviews),Mercedes-Benz Certified,"$1,415 price drop","$47,780",47780.0,0.0,908.0,1415.0,70390.0,1723.0,"['2022', 'Mercedes-Benz', 'GLC', '300', 'Base', '4MATIC']",2022,Mercedes-Benz,"['GLC', '300', 'Base', '4MATIC']"
4095,2015 Dodge Durango Limited,"2,500 mi.",4.4,"(2,372 reviews)",Used,"$1,436 price drop","$23,000",23000.0,1.0,2372.0,1436.0,2500.0,186.0,"['2015', 'Dodge', 'Durango', 'Limited']",2015,Dodge,"['Durango', 'Limited']"
4096,2020 Toyota Sienna LE,"89,454 mi.",4.7,(245 reviews),Used,"$10,000 price drop","$36,301",36301.0,1.0,245.0,10000.0,89454.0,1374.0,"['2020', 'Toyota', 'Sienna', 'LE']",2020,Toyota,"['Sienna', 'LE']"
4097,2021 Toyota RAV4 XLE,"48,452 mi.",4.7,(124 reviews),Used,$233 price drop,"$34,000",34000.0,1.0,124.0,233.0,48452.0,1662.0,"['2021', 'Toyota', 'RAV4', 'XLE']",2021,Toyota,"['RAV4', 'XLE']"
4098,2015 Lexus NX 200t Base,"17,054 mi.",4.8,(760 reviews),Used,"$1,002 price drop","$28,500",28500.0,1.0,760.0,1002.0,17054.0,210.0,"['2015', 'Lexus', 'NX', '200t', 'Base']",2015,Lexus,"['NX', '200t', 'Base']"
4099,2020 Toyota Tacoma SR5,"55,113 mi.",4.7,"(1,992 reviews)",Toyota Certified,$199 price drop,"$39,999",39999.0,0.0,1992.0,199.0,55113.0,1379.0,"['2020', 'Toyota', 'Tacoma', 'SR5']",2020,Toyota,"['Tacoma', 'SR5']"
4100,2017 Chevrolet Tahoe LT,"18,601 mi.",4.5,(542 reviews),Used,$500 price drop,"$35,795",35795.0,1.0,542.0,500.0,18601.0,369.0,"['2017', 'Chevrolet', 'Tahoe', 'LT']",2017,Chevrolet,"['Tahoe', 'LT']"
4101,2021 Ford F-150 Lariat,"84,702 mi.",4.8,(447 reviews),Used,$296 price drop,"$69,997",69997.0,1.0,447.0,296.0,84702.0,1483.0,"['2021', 'Ford', 'F-150', 'Lariat']",2021,Ford,"['F-150', 'Lariat']"
4103,2020 Acura TLX Technology,"23,993 mi.",4.8,(68 reviews),Used,$200 price drop,"$33,791",33791.0,1.0,68.0,200.0,23993.0,1083.0,"['2020', 'Acura', 'TLX', 'Technology']",2020,Acura,"['TLX', 'Technology']"
